# Observed 2026-09-08; inventory only, NOT a reproducible install lock.
name	version	build
_openmp_mutex	4.5	20_gnu
absl-py	2.5.0	pypi_0
accelerate	1.14.0	pypi_0
adapters	1.0.1	pypi_0
aiohappyeyeballs	2.7.1	pypi_0
aiohttp	3.14.3	pypi_0
aiosignal	1.4.0	pypi_0
annotated-types	0.8.0	pypi_0
asttokens	3.0.2	pypi_0
async-timeout	5.0.1	pypi_0
attrs	26.1.0	pypi_0
beautifulsoup4	4.15.0	pypi_0
biopython	1.88	pypi_0
biotite	0.41.2	pypi_0
brotli	1.2.0	pypi_0
bzip2	1.0.8	hda65f42_10
ca-certificates	2026.7.22	hbd8a1cb_0
certifi	2026.7.22	pypi_0
charset-normalizer	3.5.1	pypi_0
click	8.5.0	pypi_0
cloudpathlib	0.25.0	pypi_0
coloredlogs	15.0.1	pypi_0
cycler	0.12.1	pypi_0
decorator	5.3.1	pypi_0
dgl	2.1.0	pypi_0
docutils	0.17.1	pypi_0
einops	0.8.2	pypi_0
et-xmlfile	2.0.0	pypi_0
exceptiongroup	1.3.1	pypi_0
executing	2.2.1	pypi_0
fair-esm	2.0.0	pypi_0
filelock	3.32.3	pypi_0
flatbuffers	25.12.19	pypi_0
frozenlist	1.8.0	pypi_0
fsspec	2024.12.0	pypi_0
gdown	6.1.0	pypi_0
gemmi	0.7.5	pypi_0
h5py	3.16.0	pypi_0
hf-xet	1.6.0	pypi_0
huggingface-hub	0.36.2	pypi_0
humanfriendly	10.0	pypi_0
icu	78.3	py310h44b86e0_2
idna	3.19	pypi_0
ifeatureomegacli	1.0.2	pypi_0
ipython	8.39.0	pypi_0
jedi	0.20.0	pypi_0
jinja2	3.1.6	pypi_0
joblib	1.5.3	pypi_0
kiwisolver	1.5.0	pypi_0
ld_impl_linux-64	2.46.1	default_hbd61a6d_102
libexpat	2.8.1	hecca717_1
libffi	3.7.0	h81df57d_1
libgcc	16.2.0	ha9f2e26_4
libgomp	16.2.0	he0feb66_4
liblzma	5.8.3	hb03c661_1
libnsl	2.0.1	hb9d3cd8_1
libsqlite	3.53.4	h13e7031_1
libstdcxx	16.2.0	h934c35e_4
libuuid	2.42.2	h5347b49_0
libxcrypt	4.4.38	h280c20c_0
libzlib	1.3.2	h25fd6f3_3
lightning	2.1.4	pypi_0
lightning-utilities	0.15.3	pypi_0
markupsafe	3.0.3	pypi_0
matplotlib	3.4.3	pypi_0
matplotlib-inline	0.2.2	pypi_0
ml-collections	1.1.0	pypi_0
mmcif-pdbx	2.1.0	pypi_0
mpmath	1.3.0	pypi_0
msgpack	1.2.2	pypi_0
msgpack-numpy	0.4.8	pypi_0
multidict	6.7.1	pypi_0
ncurses	6.6	hdb14827_1
networkx	3.4.2	pypi_0
numpy	1.26.4	pypi_0
nvidia-cublas-cu11	11.11.3.6	pypi_0
nvidia-cuda-cupti-cu11	11.8.87	pypi_0
nvidia-cuda-nvrtc-cu11	11.8.89	pypi_0
nvidia-cuda-runtime-cu11	11.8.89	pypi_0
nvidia-cudnn-cu11	9.1.0.70	pypi_0
nvidia-cufft-cu11	10.9.0.58	pypi_0
nvidia-curand-cu11	10.3.0.86	pypi_0
nvidia-cusolver-cu11	11.4.1.48	pypi_0
nvidia-cusparse-cu11	11.7.5.86	pypi_0
nvidia-nccl-cu11	2.21.5	pypi_0
